0.3002488,-14.4523943,-0.3450739,-14.4692638,-0.9993072,-14.4863664
0.3974355,-14.1560575,-0.3508347,-14.1649438,-0.9974183,-14.1726225
0.3671367,-13.8617008,-0.3524036,-13.8607037,-0.9671412,-13.8598519
0.3999370,-13.5667092,-0.3500984,-13.5565107,-0.8999429,-13.5490342
0.3997969,-13.2707583,-0.3442372,-13.2523317,-0.8998046,-13.2385726
0.3776645,-12.9729996,-0.3351378,-12.9481338,-0.8777165,-12.9292062
0.3494492,-12.6734443,-0.3231181,-12.6438840,-0.8493935,-12.6207535
0.4490838,-12.3789162,-0.3084961,-12.3395494,-0.8491645,-12.3114541
0.4488219,-12.0787225,-0.2915896,-12.0350969,-0.8489274,-12.0022582
0.4485526,-11.7772468,-0.2727167,-11.7304936,-0.8487249,-11.6931563
0.4484553,-11.4745166,-0.2521952,-11.4257065,-0.8484017,-11.3841724
0.4482748,-11.1705476,-0.2303430,-11.1207027,-0.8482326,-11.0753182
0.4982079,-10.8692099,-0.2074781,-10.8154491,-0.7980360,-10.7704590
0.4981054,-10.5630157,-0.1839184,-10.5099128,-0.7979719,-10.4621022
0.4979773,-10.2557030,-0.1599818,-10.2040609,-0.7980368,-10.1539810
0.4980548,-9.9473589,-0.1359862,-9.8978603,-0.7980017,-9.8461778
0.4981743,-9.6380395,-0.1122496,-9.5912781,-0.7980280,-9.5387441
0.4982824,-9.3278068,-0.0890899,-9.2842812,-0.7981630,-9.2317373
0.5484266,-9.0202524,-0.0668249,-8.9768368,-0.7483487,-8.9287447
0.5576753,-8.7087399,-0.0457727,-8.6689119,-0.7576918,-8.6219246
0.5487678,-8.3952128,-0.0262511,-8.3604734,-0.7488663,-8.3168171
0.5989955,-8.0841840,-0.0085781,-8.0514884,-0.6991262,-8.0143277
0.5993456,-7.7692964,0.0069284,-7.7419240,-0.6992689,-7.7092944
0.5995636,-7.4535403,0.0199506,-7.4317471,-0.6995184,-7.4046953
0.5997601,-7.1368703,0.0301704,-7.1209248,-0.6997308,-7.1004913
0.5999123,-6.8192401,0.0372700,-6.8094241,-0.6998899,-6.7965634
0.6499804,-6.5007377,0.0409314,-6.4972120,-0.6499978,-6.4932124
0.6499964,-6.1807553,0.0408935,-6.1842691,-0.6499820,-6.1882545
0.6499257,-5.8614595,0.0375418,-5.8707282,-0.6499254,-5.8811334
0.6498260,-5.5433184,0.0316730,-5.5568196,-0.6498640,-5.5717053
0.6497888,-5.2264910,0.0240900,-5.2427749,-0.6497712,-5.2603121
0.6997401,-4.9098988,0.0155959,-4.9288256,-0.5997627,-4.9458495
0.7175940,-4.5961823,0.0069937,-4.6152035,-0.6174870,-4.6319195
0.6998483,-4.2857991,-0.0009134,-4.3021401,-0.5997984,-4.3161055
0.7499103,-3.9767717,-0.0073225,-3.9898671,-0.5498953,-3.9992503
0.7499620,-3.6720228,-0.0114304,-3.6786161,-0.5499893,-3.6832798
0.7499921,-3.3706352,-0.0124341,-3.3686188,-0.5500033,-3.3671971
0.7003101,-3.0719133,-0.0095305,-3.0601067,-0.5003451,-3.0519431
0.7496800,-2.7785314,-0.0019166,-2.7533115,-0.4496450,-2.7382879
0.7491909,-2.4874631,0.0112107,-2.4484649,-0.4491371,-2.4241380
0.7480576,-2.2017739,0.0307332,-2.1458940,-0.4483178,-2.1085756
0.7459202,-1.9295656,0.0594198,-1.8482157,-0.4457422,-1.7883543
0.7402686,-1.6763204,0.1019690,-1.5603884,-0.4404151,-1.4618771
0.7416423,-1.4456466,0.1631667,-1.2874763,-0.4158687,-1.1291530
0.7557328,-1.2407416,0.2477987,-1.0345437,-0.3561418,-0.7893715
0.7163301,-1.0208398,0.3606508,-0.8066548,-0.3165422,-0.3988589
0.7072590,-0.7904835,0.5065085,-0.6088736,-0.2359103,0.0627596
0.9266243,-0.7630862,0.6881018,-0.4444678,0.0088475,0.4628803
1.1204381,-0.7260407,0.9012707,-0.3106843,0.4599699,0.5256492
1.3487789,-0.7512204,1.1404129,-0.2035099,0.8154244,0.6507543
1.5814941,-0.7706222,1.3999263,-0.1189313,1.1520728,0.7706751
1.8256089,-0.7831181,1.6742089,-0.0529353,1.5007658,0.7835590
2.0832126,-0.7900536,1.9576586,-0.0015086,1.8316259,0.7900426
2.3488297,-0.7935435,2.2450470,0.0391330,2.1385729,0.8934041
2.6159423,-0.7964109,2.5345107,0.0707142,2.4569949,0.8961422
2.8843785,-0.7982332,2.8259662,0.0938697,2.7733054,0.8981343
3.1553505,-0.7992950,3.1193462,0.1092245,3.0880330,0.8993716
3.4302581,-0.8498565,3.4145833,0.1174035,3.4027126,0.8499204
3.7069281,-0.8502504,3.7116104,0.1190315,3.7151426,0.8502505
3.9865549,-0.8964717,4.0103600,0.1147335,4.0287619,0.8964165
4.2706112,-0.8992953,4.3107650,0.1051344,4.3425118,0.8992681
4.5591396,-0.8986905,4.6127579,0.0908590,4.6511184,0.7988194
4.8520088,-0.8980801,4.9162715,0.0725324,4.9643173,0.7982061
5.1490765,-0.8976211,5.2212386,0.0507793,5.2780537,0.7974791
5.4501786,-0.8968982,5.5275918,0.0262247,5.5922422,0.7971555
5.7549968,-0.8967742,5.8352638,-0.0005065,5.9066368,0.7964492
6.0633197,-0.8963906,6.1441873,-0.0287894,6.2210900,0.7962726
6.3748081,-0.8961112,6.4542951,-0.0579992,6.5353168,0.7962944
6.6891068,-0.8963093,6.7655198,-0.0875108,6.8490060,0.7961541
7.0059422,-0.8965244,7.0777942,-0.1166994,7.1619172,0.7963051
